Country,Code,Name,BSNS Year,Updated At,Liabilities/Equity %,IB Debt/Equity %,BPS,Net Cash / Share,Sales Growth 5Y %,Op Income Growth 5Y %,NI Growth 5Y %,Max PER Allowed,Price Min by PBR/NCSR,Price Max by PBR/NCSR,PBR Price Min,PBR Price Max,NCSR Price Min,NCSR Price Max,Needs Quote PER/PBR/Price
JP,4377,ONE CAREER Inc.,2025,2026-05-12T01:59:54.828755+00:00,9.827705065176909,9.827705065176909,300.9816943620178,180.5259448649943,32.17218543046358,37.817351598173514,44.113029827315544,15.0,30.09816943620178,451.4725415430267,30.09816943620178,451.4725415430267,0.0003610518897299886,451.3148621624858,True
JP,2436,"KYODO PUBLIC RELATIONS CO.,LTD.",2025,2026-05-12T01:59:50.556456+00:00,18.31588578214932,18.31588578214932,525.9785076311704,180.19423907234266,14.906906906906908,18.178137651821862,15.149514563106796,14.906906906906908,52.59785076311704,450.4855976808566,52.59785076311704,788.9677614467556,0.00036038847814468536,450.4855976808566,True
JP,5038,eWeLL Co.,Ltd.,2025,2026-05-11T15:37:26.250874+00:00,13.164776644073334,13.164776644073334,215.71591100723654,56.327640784487545,27.324988286382784,25.368571428571428,31.497326203208557,15.0,21.571591100723655,318.97763613281795,21.571591100723655,323.5738665108548,0.00011265528156897508,140.81910196121887,True
JP,5134,POPER Co.,Ltd.,2025,2026-05-11T15:37:29.863017+00:00,20.420602605171664,20.420602605171664,218.4280234516634,121.88649706457926,31.012048192771083,35.65217391304348,20.0,15.0,21.84280234516634,305.54032565129284,21.84280234516634,327.6420351774951,0.00024377299412915854,304.71624266144814,True
JP,5132,"pluszero,Inc.",2025,2026-05-11T15:37:29.842214+00:00,10.658307210031348,10.658307210031348,187.85494330322726,109.63967136150235,47.10280373831776,54.071661237785015,53.271028037383175,15.0,18.785494330322727,273.79917840375585,18.785494330322727,281.7824149548409,0.0002192793427230047,274.09917840375586,True
JP,7832,Bandai Namco Holdings Inc.,2026,2026-05-12T04:04:42.932994+00:00,39.05291706042886,39.05291706042886,1221.3272727272727,79.26212121212122,10.795850142730217,20.848293505186493,19.071491102067395,15.0,122.13272727272728,198.15530303030303,122.13272727272728,1831.990909090909,0.00015852424242424242,198.15530303030303,True
JP,3566,"UNIFORM NEXT CO.,LTD.",2025,2026-05-12T04:04:24.606765+00:00,33.17901234567901,33.17901234567901,382.22222222222223,72.28395061728395,26.494472001679556,28.216111307420493,28.39468864468864,15.0,38.22222222222223,180.70987654320987,38.22222222222223,573.3333333333334,0.00014456790123456791,180.70987654320987,True
JP,2124,"JAC Recruitment Co.,Ltd.",2025,2026-05-12T11:25:07.240348+00:00,0.09191448627939975,0.09191448627939975,126.08794948126467,40.88309814135021,30.132228087863774,51.98674033149171,49.705934770985564,15.0,12.608794948126467,102.20774535337552,12.608794948126467,189.13192422189702,8.176619628270043e-05,102.20774535337552,True
JP,1435,robot home Inc.,2025,2026-05-11T15:37:04.180192+00:00,16.04557483687791,16.04557483687791,124.4620501165501,28.278263403263402,4.5662100456621005,67.17557251908397,112.28070175438597,4.5662100456621005,12.44620501165501,70.2915839297333,12.44620501165501,186.69307517482516,5.65565268065268e-05,70.6956585081585,True
JP,8918,LAND Co.,Ltd.,2026,2026-05-12T01:18:44.461476+00:00,4.127700959423876,4.127700959423876,7.609454780361757,0.8688799345165221,19.129750982896462,11.202185792349727,14.630421896054482,11.202185792349727,0.7609454780361758,2.172199836291305,0.7609454780361758,11.414182170542636,1.737759869033044e-06,2.172199836291305,True
