ticker,name,source,status,message,parsed_facts,output_record
ABDN,ABERDEEN GROUP PLC,4539eb2fa3_ABDN_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_pre.xml,empty,parsed 0 numeric facts,0,
ABDN,ABERDEEN GROUP PLC,4539eb2fa3_ABDN_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_def.xml,empty,parsed 0 numeric facts,0,
ABDN,ABERDEEN GROUP PLC,4539eb2fa3_ABDN_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_lab-en.xml,empty,parsed 0 numeric facts,0,
ABDN,ABERDEEN GROUP PLC,4539eb2fa3_ABDN_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_cal.xml,empty,parsed 0 numeric facts,0,
ABDN,ABERDEEN GROUP PLC,4539eb2fa3_ABDN_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/META-INF/catalog.xml,empty,parsed 0 numeric facts,0,
ABDN,ABERDEEN GROUP PLC,4539eb2fa3_ABDN_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/META-INF/taxonomyPackage.xml,empty,parsed 0 numeric facts,0,
ANII,ABERDEEN GROUP PLC,4539eb2fa3_ANII_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/reports/0TMBS544NMO7GLCE7H90-2025-12-31-T01.html,parsed,ok,449,
ANII,ABERDEEN GROUP PLC,4539eb2fa3_ANII_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_pre.xml,empty,parsed 0 numeric facts,0,
ANII,ABERDEEN GROUP PLC,4539eb2fa3_ANII_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_def.xml,empty,parsed 0 numeric facts,0,
ANII,ABERDEEN GROUP PLC,4539eb2fa3_ANII_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_lab-en.xml,empty,parsed 0 numeric facts,0,
ANII,ABERDEEN GROUP PLC,4539eb2fa3_ANII_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_cal.xml,empty,parsed 0 numeric facts,0,
ANII,ABERDEEN GROUP PLC,4539eb2fa3_ANII_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/META-INF/catalog.xml,empty,parsed 0 numeric facts,0,
ANII,ABERDEEN GROUP PLC,4539eb2fa3_ANII_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/META-INF/taxonomyPackage.xml,empty,parsed 0 numeric facts,0,
AUSC,ABERDEEN GROUP PLC,4539eb2fa3_AUSC_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/reports/0TMBS544NMO7GLCE7H90-2025-12-31-T01.html,parsed,ok,449,
AUSC,ABERDEEN GROUP PLC,4539eb2fa3_AUSC_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_pre.xml,empty,parsed 0 numeric facts,0,
AUSC,ABERDEEN GROUP PLC,4539eb2fa3_AUSC_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_def.xml,empty,parsed 0 numeric facts,0,
AUSC,ABERDEEN GROUP PLC,4539eb2fa3_AUSC_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_lab-en.xml,empty,parsed 0 numeric facts,0,
AUSC,ABERDEEN GROUP PLC,4539eb2fa3_AUSC_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/aberdeenplc.com/20251231/0TMBS544NMO7GLCE7H90-2025-12-31_cal.xml,empty,parsed 0 numeric facts,0,
AUSC,ABERDEEN GROUP PLC,4539eb2fa3_AUSC_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/META-INF/catalog.xml,empty,parsed 0 numeric facts,0,
AUSC,ABERDEEN GROUP PLC,4539eb2fa3_AUSC_2025_NI-000141696_0TMBS544NMO7GLCE7H90-2025-12-31.zip!0TMBS544NMO7GLCE7H90-2025-12-31/META-INF/taxonomyPackage.xml,empty,parsed 0 numeric facts,0,
80JT,"AB ""IGNITIS GRUPĖ""",3a94a9bbf0_80JT_2025_NI-000141866_5493005RZJHJT5PNHY10-2025-12-31.zip!5493005RZJHJT5PNHY10-2025-12-31/abignitisgrupe.com/xbrl/2023/abignitisgrupe-2025-12-31_cal.xml,empty,parsed 0 numeric facts,0,
